Id,Label,timeset,twitter_type,lat,lng,place_country,place_type,place_fullname,place_name,created_at,lang,possibly_sensitive,quoted_status_permalink,description,email,profile_image,friends_count,followers_count,real_name,location,emoji_alias,emoji_html_decimal,emoji_utf8,Eccentricity,closnesscentrality,harmonicclosnesscentrality,betweenesscentrality,modularity_class
@dc__movers,@dc__movers,<[2021-11-22T19:45:55.596Z]>,User,,,,,,,Mon Nov 26 17:22:57 EST 2012,,,,Residential & Commercial furniture assembly - moving  - Installation - junk furniture removal - in Washington DC - Maryland - Virginia - CALL 240-714-3649,,http://pbs.twimg.com/profile_images/1178081701332946946/y2J3Da6x_bigger.jpg,153091,39874,Furniture Assembly Experts - DC MD VA Baltimore,"Washington, DC - VA - Maryland",,,,0,0,0,0,0
@mark_crypto20,@mark_crypto20,<[2021-11-22T19:45:56.135Z]>,User,,,,,,,Tue May 04 13:16:33 EDT 2021,,,,Hodl Hoge like your life depends on it,,http://pbs.twimg.com/profile_images/1425528942866411521/OOyQvRqb_bigger.jpg,97,55,Bayfield,,,,,0,0,0,0,0
@champagne_air,@champagne_air,<[2021-11-22T19:46:02.363Z]>,User,,,,,,,Sun Jun 06 12:33:59 EDT 2021,,,,idgd_isgd,,http://pbs.twimg.com/profile_images/1401870726232223748/k68cn38u_bigger.jpg,132,94,Champagne Air,,,,,0,0,0,0,0
@bbossimus,@bbossimus,<[2021-11-22T19:46:02.515Z]>,User,,,,,,,Mon May 17 08:42:12 EDT 2021,,,,"Seeing my life change completely in a positive way, and by helping others see myself grow more than I didn't even dream of !",,http://abs.twimg.com/sticky/default_profile_images/default_profile_bigger.png,167,23,Boss Petit,,,,,0,0,0,0,0
@dominic94080127,@dominic94080127,<[2021-11-22T19:46:08.844Z]>,User,,,,,,,Wed Feb 10 12:33:20 EST 2021,,,,https://hoge.finance,,http://pbs.twimg.com/profile_images/1401541874998034433/PfpC2HKX_bigger.jpg,47,100,HOGE Connoisseur,,,,,0,0,0,0,0
@bem_bird,@bem_bird,<[2021-11-22T19:46:11.455Z]>,User,,,,,,,Tue May 26 12:49:45 EDT 2020,,,,Proud to be a @Coopuk member pioneer for 6 stores in Milton Keynes and excited to be making a difference in these local communities.,,http://pbs.twimg.com/profile_images/1265324555863822339/jF_p7PVX_bigger.jpg,786,516,Trudie Member Pioneer,"Milton Keynes, England",,,,0,0,0,0,0
@yismentalhealth,@yismentalhealth,<[2021-11-22T19:46:11.455Z]>,User,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0
@mkactcharity,@mkactcharity,<[2021-11-22T19:46:11.455Z]>,User,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0
@nickolastweet,@nickolastweet,<[2021-11-22T19:46:11.601Z]>,User,,,,,,,Fri Jul 10 09:03:29 EDT 2020,,,,I am still learning. -Michelangelo,,http://pbs.twimg.com/profile_images/1460286576987099136/ljWoruHy_bigger.jpg,85,43,Nickolas,,,,,0,0,0,0,0
@lealhistorybuff,@lealhistorybuff,<[2021-11-22T19:46:16.529Z]>,User,,,,,,,Fri Aug 12 16:49:50 EDT 2016,,,,"History teacher, MS in Social Studies Curriculum",,http://pbs.twimg.com/profile_images/764215731839991808/8ib3elUv_bigger.jpg,155,101,Andrea Maurer Leal,,,,,0,0,0,0,0
@gulliverprep_,@gulliverprep_,<[2021-11-22T19:46:16.529Z]>,User,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0
@esopofabuloso,@esopofabuloso,"<[2021-11-22T19:46:21.604Z, 2021-11-22T19:50:03.615Z]>",User,,,,,,,Mon May 17 13:50:43 EDT 2010,,,,"Trabajadora, no olvido mis raíces, madre y padre ejemplar, buena administradora, tomo siempre lo + de lo - y :·) CREO EN LA EXISTENCIA DE DIOS Y EN EL AMOR.",,http://pbs.twimg.com/profile_images/3763991114/db7b081548c5e1cef89d53cefd10439d_bigger.jpeg,260,34,Gladys Millan,GUAYANESA DE CORAZON,,,,0,0,0,0,0
@projectreddtw,@projectreddtw,<[2021-11-22T19:46:21.604Z]>,User,,,,,,,Tue Aug 04 01:45:17 EDT 2020,,,,Redd is a digital currency that aims to bring value back to humanity and social interaction.,,http://pbs.twimg.com/profile_images/1310441276609835008/D9INIdQM_bigger.jpg,202,4390,Project Redd Official,,,,,0,0,0,0,0
@rdd_music,@rdd_music,,User,,,,,,,Sat Nov 07 09:47:32 EST 2020,,,,Redd Team | Visit https://ReddCoin.com | Redd | The Social Currency | $RDD | #RDD | #ReddCoin,,http://pbs.twimg.com/profile_images/1325087708952326145/Q8Xx3b7Y_bigger.jpg,11,465,Redd_Music,,,,,0,0,0,0,0
@sarahbowbarah1,@sarahbowbarah1,"<[2021-11-22T19:46:21.819Z, 2021-11-22T19:47:29.179Z]>",User,,,,,,,Sat Aug 24 21:43:54 EDT 2019,,,,🌙💎⭕️ Hi it’s Sarah. Crypto obsessed. ⭕️💎🌙 💲💰xMooney Miner ⚒️ 👽🥷$PAC Masternode Operator 🐺,,http://pbs.twimg.com/profile_images/1461359376317313038/nfbgqvXJ_bigger.jpg,764,4622,Sarah,"Michigan, USA",,,,0,0,0,0,0
@zuhairpre,@zuhairpre,<[2021-11-22T19:46:22.566Z]>,User,,,,,,,Wed Jan 06 09:34:45 EST 2010,,,,crypto’s market #DOGE #XRP I mine with #xMooneycoin #Safemoon #PACProtocol master node hodler #HarmonyONE,,http://pbs.twimg.com/profile_images/1461816038908178438/mIy-VYUx_bigger.jpg,881,497,Zuhair xMooney_hodler,"KS-From Saudi Arabia ",,,,0,0,0,0,0
@unterkupfer,@unterkupfer,<[2021-11-22T19:46:23.654Z]>,User,,,,,,,Thu Apr 15 05:00:16 EDT 2021,,,,What's that $HOGE everyone's talking about? #HOGEeverywhere,,http://pbs.twimg.com/profile_images/1453774930458333186/mATTqkw-_bigger.jpg,60,14,Unterkupfer,,,,,0,0,0,0,0
@weidhaasingo,@weidhaasingo,<[2021-11-22T19:46:33.260Z]>,User,,,,,,,Fri Jan 29 08:23:18 EST 2021,,,,Kochen,,http://pbs.twimg.com/profile_images/1441431253539074048/wDSnFP5P_bigger.jpg,108,61,Cooking HOGE,,,,,0,0,0,0,0
@lucasscott88,@lucasscott88,<[2021-11-22T19:46:39.118Z]>,User,,,,,,,Mon Feb 08 12:50:04 EST 2021,,,,,,http://pbs.twimg.com/profile_images/1358837703677251591/vKN2I30w_bigger.jpg,96,57,Lucas Scott,,,,,0,0,0,0,0
@sharmin03304799,@sharmin03304799,<[2021-11-22T19:46:39.724Z]>,User,,,,,,,Sat Oct 16 04:38:42 EDT 2021,,,,i don't know about myself.,,http://pbs.twimg.com/profile_images/1450485756569722880/xhwdgBJ2_bigger.jpg,107,5,Rakibul Islam,,,,,0,0,0,0,0
@cryptomaniac026,@cryptomaniac026,<[2021-11-22T19:46:41.869Z]>,User,,,,,,,Wed Feb 06 22:24:19 EST 2013,,,,"#1 Place for VeVe Ecomi Chatter
Follow me on #VeVe  User Cryptomaniac
Long-time Collector and Entrepreneur 
@TCU Go Frogs !!
The500 💎💎💎",,http://pbs.twimg.com/profile_images/1461851742203789325/gVlVdjjE_bigger.jpg,426,3897,Crypt⭕maniac DCON-OG,,,,,0,0,0,0,0
@veve_official,@veve_official,<[2021-11-22T19:46:41.869Z]>,User,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0
@ecomi_,@ecomi_,<[2021-11-22T19:46:41.869Z]>,User,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0
@thecryptocrip1,@thecryptocrip1,<[2021-11-22T19:46:41.869Z]>,User,,,,,,,Tue Sep 14 18:35:46 EDT 2021,,,,Prolific….so gifted…. here for VeVe Nfts🔥🔥🔥🔥,,http://pbs.twimg.com/profile_images/1455387051252084740/HH0vYQJg_bigger.jpg,289,280,TheCryptoCrip⭕️,"San Diego, CA",,,,0,0,0,0,0
@blayne406,@blayne406,<[2021-11-22T19:46:45.258Z]>,User,,,,,,,Tue Feb 21 19:19:47 EST 2017,,,,"Faith, family, and friends... the sweet spot, the small of a woman's back, and I believe in long, slow, deep, soft, wet kisses that last three days.",,http://pbs.twimg.com/profile_images/1058735513367126016/kz3_-wRM_bigger.jpg,141,54,Blayne,"Miles City, MT",,,,0,0,0,0,0
@elwenchomusic,@elwenchomusic,"<[2021-11-22T19:46:45.258Z, 2021-11-22T19:48:36.554Z]>",User,,,,,,,Wed Dec 05 16:18:23 EST 2012,,,,"John McLellan and Josh Keehr of Bozeman, MT. perform as a duo known as El Wencho. Energetic, Entertaining, and Eclectic! https://youtu.be/-gmY4bSy1tE",,http://pbs.twimg.com/profile_images/1325670912591425537/8ND3keZJ_bigger.jpg,4090,1230,🎶EL WENCHO🎶,"Bozeman, Montana",,,,0,0,0,0,0
@cryptoalts2,@cryptoalts2,<[2021-11-22T19:46:57.846Z]>,User,,,,,,,Mon May 10 09:51:44 EDT 2021,,,,🐶,,http://pbs.twimg.com/profile_images/1393379469247893506/DVsz6ZmC_bigger.jpg,313,111,HOGEMEMEIAN DEVIL,,,,,0,0,0,0,0
@hogeisking,@hogeisking,<[2021-11-22T19:46:56.604Z]>,User,,,,,,,Sat Jun 15 13:37:14 EDT 2019,,,,Hoge! #WeAreAllDevs in this space. Anybody can create. #WeAreInevitable Soon we will cover the capabilities of the entire crypto space 💎🙌🏼,,http://pbs.twimg.com/profile_images/1462155447616425987/FM3KNYTE_bigger.jpg,103,67,King Hoge,,,,,0,0,0,0,0
@jahandidehehsan,@jahandidehehsan,<[2021-11-22T19:47:06.675Z]>,User,,,,,,,Tue May 04 06:34:46 EDT 2021,,,,,,http://abs.twimg.com/sticky/default_profile_images/default_profile_bigger.png,61,37,Ehsan Jahandideh,,,,,0,0,0,0,0
@oyorralegna91,@oyorralegna91,<[2021-11-22T19:47:06.807Z]>,User,,,,,,,Wed Aug 05 19:03:32 EDT 2015,,,,🙋‍♂️have #patience. #crypto #to the moon #peace&love #nfa #DYR 📈📉💎✋#motivation,,http://pbs.twimg.com/profile_images/1462700332199268353/q3tg6D7x_bigger.jpg,122,474,Ångel🥷🏽👽,"Star command base ",,,,0,0,0,0,0
@tokenainu,@tokenainu,"<[2021-11-22T19:47:19.479Z, 2021-11-22T19:48:21.680Z, 2021-11-22T19:49:10.033Z, 2021-11-22T19:49:32.872Z, 2021-11-22T19:49:32.873Z]>",User,,,,,,,Fri Aug 20 11:49:23 EDT 2021,,,,AINU Token is a BEP20 token that is an automatic liquidity-providing protocol that gives out static rewards (5% of each tx) to HODLers while deflating,,http://pbs.twimg.com/profile_images/1428746043789824004/mmhERT2N_bigger.jpg,508,16098,Ainu Token,,,,,0,0,0,0,0
@wazirxcares,@wazirxcares,"<[2021-11-22T19:47:19.479Z, 2021-11-22T19:48:21.680Z, 2021-11-22T19:49:10.033Z, 2021-11-22T19:49:32.872Z, 2021-11-22T19:49:32.873Z]>",User,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0
@cryptorelief_,@cryptorelief_,"<[2021-11-22T19:47:19.479Z, 2021-11-22T19:48:21.680Z, 2021-11-22T19:49:10.033Z, 2021-11-22T19:49:32.873Z]>",User,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0
@nischalshetty,@nischalshetty,"<[2021-11-22T19:47:19.479Z, 2021-11-22T19:48:21.680Z, 2021-11-22T19:49:10.033Z, 2021-11-22T19:49:32.873Z]>",User,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0
@buddhasource,@buddhasource,"<[2021-11-22T19:47:19.479Z, 2021-11-22T19:48:21.680Z, 2021-11-22T19:49:10.033Z, 2021-11-22T19:49:32.873Z]>",User,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0
@wazirxindia,@wazirxindia,"<[2021-11-22T19:47:19.479Z, 2021-11-22T19:48:21.680Z, 2021-11-22T19:49:10.033Z, 2021-11-22T19:49:32.873Z]>",User,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0
@itsnieom,@itsnieom,<[2021-11-22T19:47:24.813Z]>,User,,,,,,,Tue Sep 07 21:38:26 EDT 2021,,,,$BTC IS THE FUTURE,,http://pbs.twimg.com/profile_images/1443229501459247106/USASGjJZ_bigger.jpg,69,24,MOEIN,🌙,,,,0,0,0,0,0
@natasha35666,@natasha35666,<[2021-11-22T19:47:24.813Z]>,User,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0
@cz_binance,@cz_binance,<[2021-11-22T19:47:24.813Z]>,User,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0
@tsukiversetoken,@tsukiversetoken,<[2021-11-22T19:47:24.813Z]>,User,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0
@hogegermany,@hogegermany,<[2021-11-22T19:47:27.355Z]>,User,,,,,,,Wed Mar 31 06:53:16 EDT 2021,,,,"Officiall german account for Hoge
http://t.me/joinchat/AjvI7…",,http://pbs.twimg.com/profile_images/1460942291145736194/jRUcACM6_bigger.jpg,762,973,Hoge Finance Germany 🇩🇪,Deutschland,,,,0,0,0,0,0
@funkybrown111,@funkybrown111,<[2021-11-22T19:47:34.573Z]>,User,,,,,,,Sat Jan 06 19:22:23 EST 2018,,,,Independent Media Artist • VeeJay • VFX • Psychedelic Art • NFT Creator,,http://pbs.twimg.com/profile_images/1400956166415470592/6OO3N53t_bigger.jpg,274,348,Mischlichter,,,,,0,0,0,0,0
@aijiafan,@aijiafan,<[2021-11-22T19:47:37.724Z]>,User,,,,,,,Mon Aug 23 23:20:05 EDT 2021,,,,A modern event ticketing and digital collectible experience. More than a moment. Building on @CeloOrg.,,http://pbs.twimg.com/profile_images/1430007026646650885/vN-n7zYB_bigger.jpg,185,51,Aijia,,,,,0,0,0,0,0
@dragossebastian,@dragossebastian,<[2021-11-22T19:47:46.480Z]>,User,,,,,,,Mon Mar 26 03:51:16 EDT 2012,,,,,,http://pbs.twimg.com/profile_images/1394586335369908227/JOIZY7j9_bigger.jpg,1720,379,dragos sebastian,romania,,,,0,0,0,0,0
@johnny_prd,@johnny_prd,<[2021-11-22T19:48:02.187Z]>,User,,,,,,,Wed Dec 12 02:28:49 EST 2018,,,,,,http://pbs.twimg.com/profile_images/1404355897607045120/xKCkSHje_bigger.jpg,99,363,promo2offers,,,,,0,0,0,0,0
@vicentesalesdid,@vicentesalesdid,<[2021-11-22T19:48:02.933Z]>,User,,,,,,,Sat Feb 25 12:16:16 EST 2012,,,,,,http://pbs.twimg.com/profile_images/1404457570740412416/Nxba-Y5V_bigger.jpg,78,15,Vicent,Valencia,,,,0,0,0,0,0
@booksyapp,@booksyapp,<[2021-11-22T19:48:05.844Z]>,User,,,,,,,Mon Feb 10 21:07:51 EST 2014,,,,"Switch to better booking. 📲
Loved by barbers and hairstylists ✂️ Perfect for nail artists, make-up artists, tattooists, and PTs. Android, iOS",,http://pbs.twimg.com/profile_images/1410689331292000258/PGnscDSD_bigger.jpg,1474,1609,booksyapp,🌎,,,,0,0,0,0,0
@arod23pr,@arod23pr,<[2021-11-22T19:48:05.844Z]>,User,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0
@molevalleylab,@molevalleylab,<[2021-11-22T19:48:14.921Z]>,User,,,,,,,Thu Nov 05 06:33:03 EST 2015,,,,This is the Twitter account of a socialist living in Mole Valley. Follow for up-to-date news and information about national and local issues.,,http://pbs.twimg.com/profile_images/871377272825106432/bNWhfZc8_bigger.jpg,1033,1238,Mole Valley Politics,,,,,0,0,0,0,0
@epsomfoodbank,@epsomfoodbank,<[2021-11-22T19:48:14.921Z]>,User,,,,,,,Sat Mar 08 12:36:05 EST 2014,,,,Emergency Food for Local People in Crisis with @TrussellTrust,,http://pbs.twimg.com/profile_images/586171266849202178/hBy4pLzY_bigger.jpg,3110,2510,Epsom&Ewell Foodbank,EpsomEwell Tadwth L/HeadBanstd,,,,0,0,0,0,0
@samet66korkmaz,@samet66korkmaz,<[2021-11-22T19:48:21.680Z]>,User,,,,,,,Tue Oct 19 13:16:21 EDT 2021,,,,,,http://pbs.twimg.com/profile_images/1450877393627975680/86bpjHwa_bigger.jpg,87,45,Samet Korkmaz,,,,,0,0,0,0,0
@crypto_memories,@crypto_memories,<[2021-11-22T19:48:23.868Z]>,User,,,,,,,Wed Oct 20 20:16:47 EDT 2021,,,,"*Tweets Not Financial Advice*
#Crypto",,http://pbs.twimg.com/profile_images/1459809020240355335/HxT6YrVQ_bigger.jpg,53,74,Cryptocurrency 🤩,,,,,0,0,0,0,0
@ejmc_24,@ejmc_24,<[2021-11-22T19:48:27.605Z]>,User,,,,,,,Wed Feb 24 18:47:34 EST 2021,,,,,,http://pbs.twimg.com/profile_images/1364728819056173058/H-w1Y1yU_bigger.jpg,32,1,Erick Joel Martinez,,,,,0,0,0,0,0
@merica_matt,@merica_matt,<[2021-11-22T19:48:33.245Z]>,User,,,,,,,Fri Nov 20 18:03:52 EST 2020,,,,A very Patriotic American who does a lot of retweeting.,,http://pbs.twimg.com/profile_images/1329924096457650177/jG2Re_jN_bigger.jpg,4958,206,MattMerica,,,,,0,0,0,0,0
@104fighterwing,@104fighterwing,<[2021-11-22T19:48:33.245Z]>,User,,,,,,,Tue Apr 28 11:34:20 EDT 2009,,,,Official Twitter 104th Fighter Wing: Proudly claiming the honor of being one of the oldest flying units in Massachusetts. Following & RTs ≠ Endorsement.,,http://pbs.twimg.com/profile_images/456202860/f15_bigger.jpg,235,2203,104th Fighter Wing,"Westfield, Massachusetts",,,,0,0,0,0,0
@johnnylwilson,@johnnylwilson,,User,,,,,,,Fri Nov 19 06:45:17 EST 2010,,,,Creative Director//NFT Innovator//Crypto Investor//Too old to be new. Too young to be a classic,,http://pbs.twimg.com/profile_images/1462250215763812355/bPFtXsPR_bigger.jpg,1850,917,Johnny,,,,,0,0,0,0,0
@bjillwatts,@bjillwatts,<[2021-11-22T19:48:36.554Z]>,User,,,,,,,Tue Mar 18 11:11:03 EDT 2014,,,,,,http://pbs.twimg.com/profile_images/807302074425864192/XvRFaMjd_bigger.jpg,84,52,becky.,,,,,0,0,0,0,0
@bkassa1961,@bkassa1961,<[2021-11-22T19:48:48.572Z]>,User,,,,,,,Fri Jun 26 00:51:30 EDT 2015,,,,Cost Control accountant,,http://pbs.twimg.com/profile_images/614295083693641728/NFH6qAoK_bigger.png,63,47,My Info Berhane,,,,,0,0,0,0,0
@kofkarnal,@kofkarnal,<[2021-11-22T19:49:05.740Z]>,User,,,,,,,Sun Mar 04 04:44:32 EST 2012,,,,,,http://pbs.twimg.com/profile_images/1876366471/215640_1049320121369_1476703036_127724_4971_n_bigger.jpg,637,57,Jesús Flores,,,,,0,0,0,0,0
@ogr_kdr,@ogr_kdr,<[2021-11-22T19:49:10.033Z]>,User,,,,,,,Tue Mar 26 14:35:04 EDT 2013,,,,,,http://pbs.twimg.com/profile_images/1338204922580492288/VAayxEEW_bigger.jpg,70,232,Kadir,,,,,0,0,0,0,0
@cryptocrusaderx,@cryptocrusaderx,<[2021-11-22T19:49:12.067Z]>,User,,,,,,,Wed Jul 06 13:01:43 EDT 2016,,,,,,http://pbs.twimg.com/profile_images/1431070547958538240/NJ8udCLm_bigger.jpg,543,158,➕ The Crypto Crusader ➕,,,,,0,0,0,0,0
@nikita_t1,@nikita_t1,<[2021-11-22T19:49:12.749Z]>,User,,,,,,,Wed May 05 13:19:25 EDT 2021,,,,$VRA to melt faces 🤤🚀,,http://pbs.twimg.com/profile_images/1460633227606081542/NMUAkWkL_bigger.jpg,75,214,T1,,,,,0,0,0,0,0
@7number73,@7number73,<[2021-11-22T19:49:32.872Z]>,User,,,,,,,Wed May 19 15:10:59 EDT 2021,,,,"I m Ainu army 😍❤️💜

Telegram : https://t.me/ainutoken",,http://pbs.twimg.com/profile_images/1452292919113797643/cGpjLMXc_bigger.jpg,1524,179,7-Ainu,,,,,0,0,0,0,0
@naxo201095,@naxo201095,<[2021-11-22T19:49:36.559Z]>,User,,,,,,,Tue Jun 22 09:07:53 EDT 2010,,,,,,http://pbs.twimg.com/profile_images/1239249545550336000/Pppbenx5_bigger.jpg,216,6,nacho ramos camino,,,,,0,0,0,0,0
@bitbash888,@bitbash888,<[2021-11-22T19:49:40.687Z]>,User,,,,,,,Sun Oct 17 06:13:25 EDT 2021,,,,Hello World!,,http://pbs.twimg.com/profile_images/1462503527033413636/l5R6WRnX_bigger.jpg,41,5,₿ash Y,,,,,0,0,0,0,0
@shytoshikusama,@shytoshikusama,<[2021-11-22T19:49:40.687Z]>,User,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0
@bs3network,@bs3network,<[2021-11-22T19:49:43.631Z]>,User,,,,,,,Wed Feb 25 18:11:24 EST 2015,,,,"Changing the way you Listen To Podcasts & Watch TV (BS3 TV on Roku)! Comedy, society & culture, politics, sports, spirituality, & tv/film reviews. #BS3N",,http://pbs.twimg.com/profile_images/1446502499561754628/9eqXNBSk_bigger.jpg,7940,8146,BS3 Network,"Forney, TX",,,,0,0,0,0,0
